time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-13 14:38:27.419917,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:38:03-04:00,14,18%
2020-09-13 14:38:47.544158,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:38:36-04:00,14,18%
2020-09-13 14:39:07.672058,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:39:03-04:00,14,18%
2020-09-13 14:39:27.799355,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:39:03-04:00,14,18%
2020-09-13 14:39:47.899235,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:39:38-04:00,14,18%
2020-09-13 14:40:08.038434,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:39:38-04:00,14,18%
2020-09-13 14:40:28.154983,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:40:03-04:00,14,18%
2020-09-13 14:40:48.288956,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:40:03-04:00,14,18%
2020-09-13 14:41:08.436390,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:41:03-04:00,14,18%
2020-09-13 14:41:28.545231,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:41:03-04:00,14,18%
2020-09-13 14:41:48.670184,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:41:40-04:00,14,18%
2020-09-13 14:42:08.791758,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:42:03-04:00,14,18%
2020-09-13 14:42:28.921443,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:42:03-04:00,14,18%
2020-09-13 14:42:49.040626,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:42:42-04:00,14,18%
2020-09-13 14:43:09.141362,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:43:03-04:00,14,18%
2020-09-13 14:43:29.244578,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:43:03-04:00,14,18%
2020-09-13 14:43:49.367070,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:43:45-04:00,14,18%
2020-09-13 14:44:09.502751,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:44:03-04:00,14,18%
2020-09-13 14:44:29.608814,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:44:03-04:00,14,18%
2020-09-13 14:44:49.765615,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:44:33-04:00,14,18%
2020-09-13 14:45:09.988919,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:45:04-04:00,14,18%
2020-09-13 14:45:30.126515,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:45:14-04:00,18,22%
2020-09-13 14:45:50.242138,UCB,1916,Davidson Hall,1102,N,N,2020-09-13T14:45:45-04:00,18,22%
2020-09-13 14:46:10.386008,UCB,1916,Davidson Hall,1102,N,N,2020-09-13T14:46:00-04:00,18,22%
2020-09-13 14:46:30.510061,UCB,1916,Davidson Hall,1102,N,N,2020-09-13T14:46:26-04:00,18,22%
2020-09-13 14:46:50.618569,UCB,1916,Davidson Hall,1102,N,N,2020-09-13T14:46:38-04:00,18,22%
2020-09-13 14:47:10.760690,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:47:05-04:00,19,24%
2020-09-13 14:47:30.897656,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:47:12-04:00,19,24%
2020-09-13 14:47:51.021087,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:47:35-04:00,19,24%
2020-09-13 14:48:11.144616,UCB,1916,West Campus/Perry Nbnd,1103,N,N,2020-09-13T14:48:05-04:00,19,24%
